"slug","title_tr","top_category_slug","mapping_confidence","decision","main_category","reason"
"service-bina-cam-filmi","Bina Cam Filmi","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-bulasik-makinesi-tasima","Bulasik Makinesi Tasima","service-moving-logistics","medium","manual_review","","no_match"
"service-cam-teras-kapatma","Cam Teras Kapatma","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-canva-tasarim","Canva Tasarim","service-design-software-marketing","medium","manual_review","","no_match"
"service-cizgi-film-yapimi","Cizgi Film Yapimi","service-home-furniture-wood","medium","manual_review","","no_match"
"service-dam-su-yalitimi","Dam Su Yalitimi","service-construction-renovation","medium","manual_review","","no_match"
"service-delikli-folyo-cam-kaplama","Delikli Folyo Cam Kaplama","service-glass-aluminum-pvc","medium","manual_review","","no_match"
"service-demir-profilden-garaj-yapimi","Demir Profilden Garaj Yapimi","service-home-furniture-wood","medium","manual_review","","no_match"
"service-direksiyon-kaplama","Direksiyon Kaplama","service-education-lessons","medium","manual_review","","no_match"
"service-dis-cephe-fileli-siva","Dis Cephe Fileli Siva","service-construction-renovation","medium","manual_review","","no_match"
"service-dis-cephe-kaplama","Dis Cephe Kaplama","service-auto-services","medium","manual_review","","no_match"
"service-dugun-davulcusu","Dugun Davulcusu","service-events-organization","medium","manual_review","Muzik Gruplari|Organizasyon Hizmetleri","multi_match"
"service-duvar-silme","Duvar Silme","service-construction-renovation","medium","manual_review","","no_match"
"service-elektronik-devre-yapimi","Elektronik Devre Yapimi","service-home-furniture-wood","medium","manual_review","","no_match"
"service-ev-ici-esya-tasima","Ev Ici Esya Tasima","service-moving-logistics","medium","manual_review","","no_match"
"service-excel-dersi","Excel Dersi","service-education-lessons","medium","manual_review","","no_match"
"service-forklift-kiralama","Forklift Kiralama","service-rental","medium","manual_review","","no_match"
"service-harici-harddisk-veri-kurtarma","Harici Harddisk Veri Kurtarma","service-design-software-marketing","medium","manual_review","","no_match"
"service-havuz-isitma-sistemleri","Havuz Isitma Sistemleri","service-plumbing-electric-hvac","medium","manual_review","","no_match"
"service-ingilizce-makale-yazimi","Ingilizce Makale Yazimi","service-education-lessons","medium","manual_review","","no_match"
"service-kabartma-tabela","Kabartma Tabela","service-print-sign-ad","medium","manual_review","","no_match"
"service-kanepe-temizligi","Kanepe Temizligi","service-home-cleaning","medium","manual_review","","no_match"
"service-kanun-dersi","Kanun Dersi","service-education-lessons","medium","manual_review","","no_match"
